IL_CODE11,IL_NAME11,IA_CODE11,IA_NAME11,IR_CODE11,IR_NAME11,STE_CODE11,STE_NAME11,AREA_SQKM,Indigenousno,Nonindigenousno
40100101,Adelaide - Central,401001,Adelaide - Prospect - Walkerville,401,Adelaide,4,South Australia,15.57236,357,"39,240"
40100102,Prospect - Walkerville,401001,Adelaide - Prospect - Walkerville,401,Adelaide,4,South Australia,11.32166,357,"39,240"
40100201,Adelaide Hills,401002,Adelaide Hills - Mount Barker,401,Adelaide,4,South Australia,766.33474,144,"36,234"
40100201,Adelaide Hills,401002,Adelaide Hills - Mount Barker,401,Adelaide,4,South Australia,766.33474,357,"39,240"
40100202,Mount Barker,401002,Adelaide Hills - Mount Barker,401,Adelaide,4,South Australia,620.70325,144,"36,234"
40100202,Mount Barker,401002,Adelaide Hills - Mount Barker,401,Adelaide,4,South Australia,620.70325,357,"39,240"
70300101,Alawa,703001,Alawa - Brinkin - Nakara,703,Darwin,7,Northern Territory,1.23998,261,"1,635"
70300102,Brinkin - Nakara,703001,Alawa - Brinkin - Nakara,703,Darwin,7,Northern Territory,2.68585,261,"1,635"
50700101,Albany - Central,507001,Albany,507,South-Western WA,5,Western Australia,27.73928,891,"29,337"
50700102,Albany - Surrounds,507001,Albany,507,South-Western WA,5,Western Australia,"4,279.60843",891,"29,337"
10500101,Albury - East,105001,Albury,105,Riverina - Orange,1,New South Wales,156.09731,975,"43,176"
10500102,Albury - West,105001,Albury,105,Riverina - Orange,1,New South Wales,197.73874,975,"43,176"
70700101,Ali Curung,707001,Ali Curung,707,Tennant Creek,7,Northern Territory,443.1496,329,15
70100201,Anthelk Ewlpaye,701002,Alice Springs Town Camps,701,Alice Springs,7,Northern Territory,0.1358,407,3
70100202,Anthepe - New Llparpa - Tyeweretye,701002,Alice Springs Town Camps,701,Alice Springs,7,Northern Territory,3.06891,407,3
70100203,Ewyenper - Ilpeye - Irklancha,701002,Alice Springs Town Camps,701,Alice Springs,7,Northern Territory,2.19566,407,3
70100204,Ilperle-Tyathe - Mt Nancy - Aper-Alwerr,701002,Alice Springs Town Camps,701,Alice Springs,7,Northern Territory,0.20526,407,3
70100205,Inarlenge,701002,Alice Springs Town Camps,701,Alice Springs,7,Northern Territory,0.22762,407,3
70100206,Nyewente - Akngwertnarre - Namatjira,701002,Alice Springs Town Camps,701,Alice Springs,7,Northern Territory,0.18388,407,3
70100207,Yarrenyty-Arltere,701002,Alice Springs Town Camps,701,Alice Springs,7,Northern Territory,0.96568,407,3
70700201,Alpurrurulam,707002,Alpurrurulam,707,Tennant Creek,7,Northern Territory,9.99259,323,9
70200101,Amoonguna,702001,Amoonguna - Santa Teresa - Titjikala,702,Apatula,7,Northern Territory,5.58839,272,0
70200102,Santa Teresa (Ltyentye Purte),702001,Amoonguna - Santa Teresa - Titjikala,702,Apatula,7,Northern Territory,"1,247.13728",272,0
70200103,South MacDonnell Ranges,702001,Amoonguna - Santa Teresa - Titjikala,702,Apatula,7,Northern Territory,"31,518.39806",272,0
70200104,Titjikala,702001,Amoonguna - Santa Teresa - Titjikala,702,Apatula,7,Northern Territory,3.85424,272,0
70200201,Ampilatwatja and Outstations,702002,Ampilatwatja and Outstations,702,Apatula,7,Northern Territory,"15,113.28581",372,13
40200101,Amata - Tjurma Homelands,402001,Anangu Pitjantjatjara,402,Port Augusta,4,South Australia,"5,086.02251",78,95
40200102,Anilalya Homelands,402001,Anangu Pitjantjatjara,402,Port Augusta,4,South Australia,"6,877.01719",78,95
40200103,Indulkana and Indulkana Homelands,402001,Anangu Pitjantjatjara,402,Port Augusta,4,South Australia,"18,561.2296",78,95
40200104,Kalka and Homelands,402001,Anangu Pitjantjatjara,402,Port Augusta,4,South Australia,"8,719.40284",78,95
