name,radius
11 Com b,12.58
11 UMi b,12.83
14 And b,13.17
14 Her b,13.18
16 Cyg B b,13.63
18 Del b,12.84
1RXS1609 b,19.06
24 Sex b,13.55
24 Sex c,13.93
2M 044144 b,12.98
2M 0746+20 b,10.87
2M 2140+16 b,10.31
2M 2206-20 b,14.57
2M1207 b,13.25
30 Ari B b,12.86
4 Uma b,13
42 Dra b,13.26
47 Uma b,13.45
47 Uma c,14.14
47 Uma d,13.64
51 Peg b,14.28
55 Cnc b,13.95
55 Cnc c,9.19
55 Cnc d,13.33
55 Cnc e,2.17
55 Cnc f,8.4
6 Lyn b,13.53
61 Vir b,2.02
61 Vir c,5.01
61 Vir d,5.7
7 CMa b,13.43
70 Vir b,13.03
81 Cet b,13.12
91 Aqr b,13.39
AB Pic b,12.73
BD +48 738 b,13.9
BD-082823 b,4.38
BD-082823 c,14.37
BD-10 3166 b,14.2
BD-17 63 b,13.14
BD14 4559 b,13.69
BD20 2457 b,12.54
BD20 2457 c,12.76
CD-35 2722 b,12.39
CFBDS 1458 b,13.04
CHXR 73 b,12.78
CT Cha b,24.66
CoRoT-1 b,16.7
CoRoT-10 b,10.87
CoRoT-11 b,16.03
CoRoT-12 b,16.14
CoRoT-13 b,9.92
CoRoT-14 b,12.22
CoRoT-16 b,13.11
CoRoT-17 b,11.43
CoRoT-18 b,14.68
CoRoT-19 b,16.25
