name,radius
11 Com b,12.58
11 UMi b,12.83
14 And b,13.17
14 Her b,13.18
16 Cyg B b,13.63
18 Del b,12.84
1RXS1609 b,19.06
24 Sex b,13.55
24 Sex c,13.93
2M 044144 b,12.98
2M 0746+20 b,10.87
2M 2140+16 b,10.31
2M 2206-20 b,14.57
2M1207 b,13.25
30 Ari B b,12.86
4 Uma b,13
42 Dra b,13.26
47 Uma b,13.45
47 Uma c,14.14
47 Uma d,13.64
51 Peg b,14.28
55 Cnc b,13.95
55 Cnc c,9.19
55 Cnc d,13.33
55 Cnc e,2.17
55 Cnc f,8.4
6 Lyn b,13.53
61 Vir b,2.02
61 Vir c,5.01
61 Vir d,5.7
7 CMa b,13.43
70 Vir b,13.03
81 Cet b,13.12
91 Aqr b,13.39
AB Pic b,12.73
BD +48 738 b,13.9
BD-082823 b,4.38
BD-082823 c,14.37
BD-10 3166 b,14.2
BD-17 63 b,13.14
BD14 4559 b,13.69
BD20 2457 b,12.54
BD20 2457 c,12.76
CD-35 2722 b,12.39
CFBDS 1458 b,13.04
CHXR 73 b,12.78
CT Cha b,24.66
CoRoT-1 b,16.7
CoRoT-10 b,10.87
CoRoT-11 b,16.03
CoRoT-12 b,16.14
CoRoT-13 b,9.92
CoRoT-14 b,12.22
CoRoT-16 b,13.11
CoRoT-17 b,11.43
CoRoT-18 b,14.68
CoRoT-19 b,16.25
CoRoT-2 b,16.42
CoRoT-20 b,9.42
CoRoT-21 b,14.57
CoRoT-23 b,11.77
CoRoT-3 b,11.32
CoRoT-4 b,13.34
CoRoT-5 b,15.56
CoRoT-6 b,13.07
CoRoT-7 b,1.68
CoRoT-7 c,3.25
CoRoT-8 b,6.39
CoRoT-9 b,11.77
DH Tau b,12.81
DP Leo b,13.07
FU Tau b,12.68
Fomalhaut b,13.37
GJ 1214 b,2.75
GJ 176 b,3.26
GJ 3021 b,13.32
GJ 317 b,13.66
GJ 317 c,13.55
GJ 3634 b,2.2
GJ 433 b,2.15
GJ 433 c,8.27
GJ 436 b,4.09
GJ 667C b,2.09
GJ 667C c,1.86
GJ 674 b,3.92
GJ 676A b,13.25
GJ 832 b,14.06
GQ Lup b,20.18
GSC 06214-00210 b,12.63
Gj 849 b,13.87
Gl 179 b,13.95
Gl 581 b,4.65
Gl 581 c,2.08
Gl 581 d,2.2
Gl 581 e,1.34
Gl 649 b,14.38
Gl 86 b,13.24
Gliese 876 b,13.56
Gliese 876 c,14.08
Gliese 876 d,2.15
Gliese 876 e,4.09
